@relation dataset_accelerometer

@attribute id numeric
@attribute ax numeric
@attribute ay numeric
@attribute az numeric
@attribute timestamp numeric
@attribute tag {OTHER,POCKET}

@data
11039,3.514688,-9.385271,0.430956,382058787385065,OTHER
11040,3.495534,-9.394848,0.440533,382058807465241,OTHER
11041,3.543418,-9.414001,0.411803,382058827545415,OTHER
11042,3.457227,-9.385271,0.287304,382058847625590,OTHER
11043,3.524265,-9.414001,0.42138,382058867705765,OTHER
11044,3.524265,-9.423578,0.488417,382058887785939,OTHER
11045,3.581726,-9.337387,0.507571,382058907866115,OTHER
11046,3.562572,-9.346964,0.354342,382058927915773,OTHER
11047,3.572149,-9.433155,0.402226,382058947995947,OTHER
11048,3.572149,-9.346964,0.344765,382058968076121,OTHER
11049,3.639187,-9.289502,0.373495,382058988156297,OTHER
11050,3.600879,-9.404425,0.440533,382059008236471,OTHER
11051,3.543418,-9.385271,0.469264,382059028316646,OTHER
11052,3.466804,-9.366117,0.47884,382059048396821,OTHER
11053,3.505111,-9.442732,0.373495,382059068476995,OTHER
11054,3.639187,-9.346964,0.373495,382059088557171,OTHER
11055,3.639187,-9.299079,0.47884,382059108606829,OTHER
11056,3.562572,-9.346964,0.411803,382059128687003,OTHER
11057,3.581726,-9.308656,0.325611,382059148647614,OTHER
11058,3.62961,-9.32781,0.373495,382059168727789,OTHER
11059,3.639187,-9.346964,0.430956,382059188807964,OTHER
11060,3.696647,-9.433155,0.335188,382059208888138,OTHER
11061,3.62961,-9.318233,0.430956,382059228968314,OTHER
11062,3.620033,-9.375694,0.402226,382059249048488,OTHER
11063,3.495534,-9.318233,0.316035,382059269128663,OTHER
11064,3.591303,-9.260772,0.344765,382059289208838,OTHER
11065,3.572149,-9.366117,0.23942,382059309289012,OTHER
11066,3.466804,-9.32781,0.354342,382059329369188,OTHER
11067,3.639187,-9.289502,0.469264,382059349449362,OTHER
11068,3.792415,-9.318233,0.459687,382059369529537,OTHER
11069,3.754108,-9.222465,0.459687,382059389609712,OTHER
11070,3.706224,-9.241618,0.42138,382059409659370,OTHER
11071,3.591303,-9.404425,0.287304,382059429739544,OTHER
11072,3.543418,-9.394848,0.392649,382059449819719,OTHER
11073,3.725378,-9.375694,0.383072,382059469899894,OTHER
11074,3.744531,-9.346964,0.306458,382059489980068,OTHER
11075,3.734955,-9.32781,0.373495,382059510060244,OTHER
11076,3.734955,-9.346964,0.383072,382059530140418,OTHER
11077,3.792415,-9.385271,0.258574,382059550220593,OTHER
11078,3.763685,-9.299079,0.201113,382059570300768,OTHER
11079,3.744531,-9.193734,0.277727,382059590380942,OTHER
11080,3.667917,-9.366117,0.497994,382059610461118,OTHER
11081,3.485958,-9.481039,0.526724,382059630541292,OTHER
11082,3.533842,-9.375694,0.45011,382059650621466,OTHER
11083,3.533842,-9.375694,0.430956,382059670701642,OTHER
11084,3.706224,-9.11712,0.488417,382059690781816,OTHER
11085,3.696647,-9.165004,0.316035,382059710831474,OTHER
11086,3.476381,-9.433155,0.383072,382059730911650,OTHER
11087,3.572149,-9.404425,0.354342,382059750991824,OTHER
11088,3.687071,-9.299079,0.21069,382059771071998,OTHER
11089,3.65834,-9.423578,0.335188,382059791152174,OTHER
11090,3.648763,-9.289502,0.383072,382059811232348,OTHER
11091,3.65834,-9.299079,0.268151,382059831312523,OTHER
11092,3.62961,-9.270349,0.248997,382059851392698,OTHER
11093,3.667917,-9.356541,0.411803,382059871472872,OTHER
11094,3.648763,-9.423578,0.363919,382059891522530,OTHER
11095,3.591303,-9.404425,0.229843,382059911602706,OTHER
11096,3.65834,-9.394848,0.287304,382059931682880,OTHER
11097,3.648763,-9.346964,0.220267,382059951763054,OTHER
11098,3.65834,-9.308656,0.220267,382059971843230,OTHER
11099,3.715801,-9.346964,0.21069,382059991923404,OTHER
11100,3.572149,-9.452309,0.42138,382060012003580,OTHER
11101,3.524265,-9.423578,0.344765,382060032083754,OTHER
11102,3.342306,-9.509769,0.287304,382060052163928,OTHER
11103,3.351882,-9.414001,0.316035,382060072244104,OTHER
11104,3.122039,-9.586384,0.277727,382060092324278,OTHER
11105,3.275268,-9.404425,0.220267,382060112404453,OTHER
11106,3.342306,-9.433155,0.162806,382060132454110,OTHER
11107,3.256114,-9.481039,0.009577,382060152534286,OTHER
11108,3.1795,-9.605537,0,382060172614460,OTHER
11109,3.102885,-9.5385,0.095768,382060192694636,OTHER
11110,3.227384,-9.490616,0.335188,382060212774810,OTHER
11111,3.303998,-9.5385,0.555455,382060232854985,OTHER
11112,3.399766,-9.452309,0.746991,382060252935160,OTHER
11113,3.572149,-9.557653,0.766145,382060273015334,OTHER
11114,3.351882,-9.634268,0.354342,382060293064992,OTHER
11115,2.547431,-9.653421,-0.02873,382060313145167,OTHER
11116,3.007117,-9.940725,0.919373,382060333225342,OTHER
11117,1.972822,-10.247183,1.398214,382060353305516,OTHER
11118,0.114922,-10.697293,-0.143652,382060373385692,OTHER
11119,1.369483,-9.873688,-0.047884,382060393465866,OTHER
11120,1.302446,-9.337387,0.68953,382060413546041,OTHER
11121,0.670376,-9.126697,0.373495,382060433626216,OTHER
11122,-0.124498,-9.519346,0.114922,382060453706390,OTHER
11123,0.086191,-10.0748,0.105345,382060473786565,OTHER
11124,0.383072,-10.007763,0.383072,382060493866740,OTHER
11125,0.497994,-9.979033,0.325611,382060513946915,OTHER
11126,0.555455,-9.959879,0.191536,382060534027090,OTHER
11127,0.565032,-9.710882,0.076614,382060554076748,OTHER
11128,0.248997,-10.055647,-0.038307,382060574156922,OTHER
11129,0.574608,-9.500193,-0.220267,382060594237097,OTHER
11130,0.45011,-9.097966,-0.430956,382060614317272,OTHER
11131,0.124498,-9.433155,-0.957681,382060634397446,OTHER
11132,0.383072,-9.662998,-1.312023,382060654477622,OTHER
11133,0.995988,-10.055647,-0.02873,382060674557796,OTHER
11134,1.302446,-10.658986,1.091756,382060694637971,OTHER
11135,2.25055,-10.534488,1.982399,382060714718146,OTHER
11136,3.064578,-10.228029,1.225831,382060734798321,OTHER
11137,3.055001,-9.825804,-1.015141,382060754847978,OTHER
11138,1.944092,-10.314221,-0.775721,382060774928153,OTHER
11139,1.628057,-10.01734,-0.162806,382060795008328,OTHER
11140,1.704672,-9.940725,0.440533,382060815088503,OTHER
11141,1.675941,-10.026917,0.555455,382060835168678,OTHER
11142,1.905785,-10.189722,-0.143652,382060855248852,OTHER
11143,1.436521,-10.850522,0.057461,382060875329027,OTHER
11144,1.58975,-10.965444,0.220267,382060895409202,OTHER
11145,0.986411,-10.534488,-0.019154,382060915489377,OTHER
11146,-0.354342,-10.409989,-0.277727,382060935569551,OTHER
11147,-0.258574,-10.342952,-0.268151,382060955649726,OTHER
11148,-0.383072,-9.634268,-0.948104,382060975729901,OTHER
11149,-0.718261,-8.532935,-0.191536,382060995810076,OTHER
11150,-1.513135,-8.283937,0.191536,382061015890251,OTHER
11151,-1.886631,-9.11712,-0.248997,382061035970425,OTHER
