@relation dataset_accelerometer_unlabeled

@attribute ﻿id numeric
@attribute ax numeric
@attribute ay numeric
@attribute az numeric
@attribute timestamp numeric

@data
1233,0.143652,8.446744,5.612009,381861886099083
1234,0.067038,8.42759,5.046977,381861906179257
1235,0.325611,8.590396,4.989516,381861926259433
1236,0.45011,8.66701,4.79798,381861946339607
1237,0.459687,8.829816,4.673482,381861966419781
1238,0.517148,8.724471,4.156334,381861986499957
1239,0.603339,8.935161,3.476381,381862006580131
1240,0.756568,9.002198,3.849876,381862026660306
1241,0.890643,9.059659,3.677494,381862046740481
1242,1.024718,9.212888,3.466804,381862066820655
1243,0.967257,9.203311,3.256114,381862086900831
1244,0.938527,9.021352,2.99754,381862106950489
1245,0.861913,9.021352,2.99754,381862127030663
1246,0.986411,9.021352,3.20823,381862147110837
1247,1.063026,9.107543,3.371036,381862167191013
1248,0.995988,9.011775,3.313575,381862187271187
1249,0.919373,9.069236,3.064578,381862207351363
1250,0.92895,9.050082,2.777274,381862227431537
1251,0.823605,9.136273,2.528277,381862247511711
1252,0.90022,9.174581,2.547431,381862267591887
1253,0.833182,9.088389,2.844312,381862287641545
1254,0.603339,8.992621,2.978387,381862307721719
1255,0.45011,8.916007,2.863465,381862327801894
1256,0.411803,8.887277,2.738967,381862347882069
1257,0.526724,9.078813,2.72939,381862367962243
1258,0.794875,9.030929,3.217807,381862388042419
1259,0.948104,9.165004,3.246537,381862408122593
1260,0.881066,9.222465,3.284845,381862428202768
1261,0.6608,9.193734,3.533842,381862448282943
1262,0.746991,9.136273,3.323152,381862468363117
1263,0.737414,9.356541,3.122039,381862488443292
1264,0.651223,9.232041,3.169923,381862508523467
1265,0.756568,9.174581,3.217807,381862528603642
1266,0.746991,9.260772,3.371036,381862548653299
1267,0.718261,9.184157,3.552995,381862568733475
1268,0.727837,9.097966,3.62961,381862588813649
1269,0.679953,9.11712,3.361459,381862608893824
1270,0.593762,9.11712,3.131616,381862628973999
1271,0.555455,9.088389,2.892196,381862649054173
1272,0.565032,9.088389,3.026271,381862669134348
1273,0.852336,9.184157,3.227384,381862689214523
1274,0.861913,9.232041,3.160346,381862709294698
1275,0.708684,9.136273,3.399766,381862729374873
1276,0.641646,9.184157,3.265691,381862749455047
1277,0.708684,9.126697,3.495534,381862769535222
1278,0.794875,9.193734,3.169923,381862789615397
1279,0.593762,9.11712,2.834735,381862809695572
1280,0.545878,9.078813,2.796427,381862829775747
1281,0.651223,9.11712,3.1795,381862849855921
1282,0.670376,9.078813,3.438074,381862869936096
1283,0.670376,9.059659,3.256114,381862890016271
1284,0.708684,9.126697,3.217807,381862910096446
1285,0.766145,9.14585,3.342306,381862930176620
1286,0.756568,9.097966,3.284845,381862950256796
1287,0.651223,9.078813,3.217807,381862970306453
1288,0.545878,8.954314,3.112462,381862990386628
1289,0.488417,9.040505,3.543418,381863010497320
1290,0.68953,8.992621,3.878607,381863030577494
1291,0.526724,8.935161,3.236961,381863050657670
1292,0.440533,8.858546,2.978387,381863070737844
1293,0.344765,8.858546,3.131616,381863090818018
1294,0.440533,8.647857,2.72939,381863110898194
1295,0.23942,8.494628,2.873042,381863130978368
1296,0.268151,8.255207,3.169923,381863151058544
1297,0.459687,8.255207,3.754108,381863171138718
1298,0.814029,8.226477,4.884171,381863191218892
1299,0.976834,8.130709,5.544971,381863211268550
1300,0.42138,8.092402,6.090849,381863231348726
1301,0.23942,7.862558,6.512228,381863251459418
1302,0.220267,7.910442,6.703765,381863271509075
1303,0.248997,7.862558,6.579266,381863291589250
1304,-0.02873,7.699753,6.416461,381863311669424
1305,0.086191,7.690176,6.349423,381863331749600
1306,0.076614,7.603985,6.167464,381863351829774
1307,-0.086191,7.52737,6.157887,381863371909948
1308,0.124498,7.412448,6.512228,381863391990124
1309,0.258574,7.469909,7.019799,381863412070298
1310,0.555455,7.546524,6.991069,381863432150474
1311,0.325611,7.402872,6.83784,381863452230648
1312,0.047884,7.278373,6.732495,381863472310823
1313,-0.095768,7.249643,6.675035,381863492390998
1314,0.21069,7.230489,6.80911,381863512440656
1315,0.248997,7.182605,6.732495,381863532520830
1316,0,6.943185,7.211336,381863552601005
1317,-0.162806,6.943185,7.383718,381863572681180
1318,-0.038307,6.856994,7.230489,381863592761354
1319,-0.134075,6.732495,7.393295,381863612841530
1320,-0.21069,6.684611,7.393295,381863632921704
1321,-0.172383,6.684611,7.575254,381863653001879
1322,-0.095768,6.675035,7.364564,381863673082054
1323,-0.21069,6.646304,7.10599,381863693162228
1324,-0.220267,6.617573,7.067683,381863713242404
1325,-0.354342,6.502652,7.07726,381863733322578
1326,-0.105345,6.560112,7.25922,381863753402753
1327,-0.02873,6.502652,7.000646,381863773482928
1328,-0.162806,6.483498,7.211336,381863793563102
1329,-0.229843,6.301539,7.144298,381863813643277
1330,-0.411803,6.215348,7.029376,381863833723452
1331,-0.287304,6.177041,6.991069,381863853803627
1332,-0.095768,6.177041,7.383718,381863873883802
1333,-0.019154,6.138733,7.450756,381863893963976
1334,0.201113,6.062119,7.536947,381863914044151
1335,-0.009577,5.995081,7.469909,381863934124326
1336,-0.134075,5.822699,7.594408,381863954204501
1337,-0.009577,5.736507,8.092402,381863974284675
1338,0.296881,5.793968,8.140285,381863994364850
1339,0.287304,5.66947,8.283937,381864014445025
1340,0.191536,5.564125,8.42759,381864034525200
1341,0.21069,5.497087,8.552089,381864054574858
1342,0.21069,5.372589,8.322245,381864074655033
1343,0.172383,5.410896,8.360553,381864094735207
1344,0.316035,5.315128,8.8777,381864114815382
1345,0.220267,5.114015,9.069236,381864134895557
1346,0.067038,5.018247,9.078813,381864154975731
1347,0.220267,5.018247,8.896853,381864175055907
1348,0.181959,5.0374,8.523358,381864195136081
1349,0.047884,4.874595,8.542512,381864215216256
1350,0.02873,4.817134,9.107543,381864235296431
1351,0.134075,4.692636,9.107543,381864255376605
1352,-0.114922,4.577713,8.992621,381864275456781
1353,-0.095768,4.501099,8.868123,381864295536955
1354,0,4.520253,9.059659,381864315617130
1355,0.02873,4.510676,8.90643,381864335697305
1356,-0.009577,4.338294,8.887277,381864355777479
1357,-0.229843,4.204218,8.8777,381864375857655
1358,-0.181959,4.223372,8.858546,381864395937829
1359,-0.162806,4.146757,8.839393,381864415987487
1360,-0.21069,4.146757,8.916007,381864436067661
1361,-0.325611,3.916914,8.858546,381864456147837
1362,-0.181959,4.060566,8.475474,381864476228011
1363,-0.201113,3.859453,8.264784,381864496308186
1364,-0.172383,3.782839,8.858546,381864516388361
1365,-0.162806,3.648763,9.32781,381864536468535
1366,-0.153229,3.524265,9.481039,381864556548711
1367,0.076614,3.734955,9.289502,381864576628885
1368,0.086191,3.639187,8.916007,381864596709060
1369,-0.124498,3.275268,9.184157,381864616789235
1370,-0.258574,3.122039,9.193734,381864636869409
1371,-0.248997,3.093309,9.423578,381864656949585
1372,-0.095768,2.94008,9.710882,381864677029759
1373,-0.105345,2.844312,9.662998,381864697109934
1374,-0.057461,2.614468,9.595961,381864717190109
1375,-0.191536,2.509123,9.787497,381864737270283
1376,-0.21069,2.432509,9.730036,381864757350459
1377,-0.296881,2.355895,9.366117,381864777430633
1378,-0.153229,2.260126,9.5385,381864797510808
1379,-0.095768,2.020706,9.615114,381864817590983
